aegislash aegislashblade
appletun appletungmax
articuno articunogalar
basculin basculinbluestriped
blastoise blastoisegmax
butterfree butterfreegmax
calyrex calyrexice
calyrex calyrexshadow
cinderace cinderacegmax
copperajah copperajahgmax
corsola corsolagalar
darmanitan darmanitangalar
darmanitan darmanitangalarzen
darmanitangalar darmanitangalarzen
dugtrio dugtrioalola
eiscue eiscuenoice
exeggutor exeggutoralola
gastrodon gastrodoneast
gastrodon gastrodonwest
genesect genesectdouse
giratina giratinaorigin
gourgeist gourgeistlarge
gourgeist gourgeistsmall
gourgeist gourgeistsuper
grimmsnarl grimmsnarlgmax
indeedee indeedeef
inteleon inteleongmax
kyurem kyuremblack
kyurem kyuremwhite
landorus landorustherian
lycanroc lycanrocdusk
lycanroc lycanrocmidnight
magearna magearnaoriginal
marowak marowakalola
meowstic meowsticf
mew mewtwo
mimikyu mimikyubusted
moltres moltresgalar
mrmime mrmimegalar
necrozma necrozmadawnwings
necrozma necrozmaduskmane
ninetales ninetalesalola
persian persianalola
pikachu pikachualola
pikachu pikachuoriginal
pikachu pikachuhoenn
pikachu pikachusinnoh
pikachu pikachuunova
pikachu pikachukalos
pikachu pikachupartner
pikachu pikachuworld
raichu raichualola
rapidash rapidashgalar
rillaboom rillaboomgmax
rotom rotomfan
rotom rotomfrost
rotom rotomheat
rotom rotommow
rotom rotomwash
sandslash sandslashalola
silvally silvallybug
silvally silvallydark
silvally silvallydragon
silvally silvallyelectric
silvally silvallyfairy
silvally silvallyfighting
silvally silvallyfire
silvally silvallyflying
silvally silvallyghost
silvally silvallygrass
silvally silvallyground
silvally silvallyice
silvally silvallypoison
silvally silvallypsychic
silvally silvallyrock
silvally silvallysteel
silvally silvallywater
slowbro slowbrogalar
slowking slowkinggalar
snorlax snorlaxgmax
stunfisk stunfiskgalar
thundurus thundurustherian
tornadus tornadustherian
toxtricity toxtricitylowkey
urshifu urshifugmax
urshifu urshifurapidstrike
urshifu urshifurapidstrikegmax
urshifurapidstrike urshifurapidstrikegmax
weezing weezinggalar
zacian zaciancrowned
zamazenta zamazentacrowned
zapdos zapdosgalar
zarude zarudedada
zygarde zygarde10
zygarde zygardecomplete
wishiwashi wishiwashischool
